Day,Logged in users,Anonymous users,Crawlers
2021-01-01,55,166,136
2021-01-02,55,58,84
2021-01-03,139,172,40
2021-01-04,251,80,87
2021-01-05,208,173,45
2021-01-06,331,153,104
2021-01-07,413,310,102
2021-01-08,526,175,83
2021-01-09,115,175,196
2021-01-10,84,134,79
2021-01-11,406,235,45
2021-01-12,341,238,213
2021-01-13,483,469,231
2021-01-14,355,206,55
2021-01-15,378,236,113
2021-01-16,108,159,108
2021-01-17,72,230,53
2021-01-18,484,473,278
2021-01-19,983,634,205
2021-01-20,986,498,235
2021-01-21,730,434,149
2021-01-22,787,446,148
2021-01-23,627,557,182
2021-01-24,765,457,145
2021-01-25,1001,831,314
2021-01-26,1372,622,431
2021-01-27,882,496,176
2021-01-28,623,464,483
2021-01-29,566,413,335
2021-01-30,326,615,269
2021-01-31,226,291,258
2021-02-01,862,790,173
2021-02-02,1019,859,182
2021-02-03,568,299,130
2021-02-04,505,379,223
2021-02-05,623,331,198
2021-02-06,246,208,156
2021-02-07,287,211,112
2021-02-08,585,400,217
2021-02-09,1042,751,224
2021-02-10,877,1306,242
2021-02-11,523,321,143
2021-02-12,488,508,302
2021-02-13,218,368,193
2021-02-14,245,329,183
2021-02-15,920,416,196
2021-02-16,1069,434,233
2021-02-17,866,412,196
2021-02-18,951,277,116
2021-02-19,1031,814,215
2021-02-20,954,692,199
2021-02-21,801,426,257
2021-02-22,1738,906,259
2021-02-23,1437,787,290
2021-02-24,1430,612,241
2021-02-25,1054,785,272
2021-02-26,882,987,326
2021-02-27,366,519,340
2021-02-28,405,411,195
2021-03-01,1121,947,303
2021-03-02,1229,562,262
2021-03-03,1405,679,295
2021-03-04,1307,1018,504
2021-03-05,1114,696,227
2021-03-06,555,769,336
2021-03-07,501,410,413
2021-03-08,958,508,194
2021-03-09,1237,655,293
2021-03-10,1237,346,336
2021-03-11,1007,406,255
2021-03-12,985,428,420
2021-03-13,357,505,280
2021-03-14,351,380,339
2021-03-15,1175,528,290
2021-03-16,998,648,280
2021-03-17,730,412,215
2021-03-18,722,410,175
2021-03-19,651,510,531
2021-03-20,532,516,235
2021-03-21,255,701,306
2021-03-22,1008,860,334
2021-03-23,1014,787,444
2021-03-24,677,567,1652
2021-03-25,836,540,240
2021-03-26,912,521,318
2021-03-27,399,490,237
2021-03-28,550,411,337
2021-03-29,1488,603,296
2021-03-30,1276,881,347
2021-03-31,1099,593,275
2021-04-01,1048,1174,281
2021-04-02,808,356,654
2021-04-03,418,940,388
2021-04-04,288,5826,329
2021-04-05,1127,364,227
2021-04-06,855,852,488
2021-04-07,1207,576,456
2021-04-08,937,508,320
2021-04-09,1219,631,401
2021-04-10,460,409,259
2021-04-11,440,454,225
2021-04-12,1378,525,357
2021-04-13,1386,655,374
2021-04-14,1184,589,480
2021-04-15,1303,545,868
2021-04-16,1184,694,771
2021-04-17,595,695,824
2021-04-18,466,450,274
2021-04-19,990,5196,1097
2021-04-20,1165,651,439
2021-04-21,1366,562,305
2021-04-22,1662,783,342
2021-04-23,1535,806,243
2021-04-24,448,694,340
2021-04-25,612,477,278
2021-04-26,1786,749,342
2021-04-27,1337,599,514
2021-04-28,1763,711,525
2021-04-29,1194,691,420
2021-04-30,1306,719,1228
2021-05-01,488,1278,302
2021-05-02,578,540,284
2021-05-03,1609,711,371
2021-05-04,1449,723,567
2021-05-05,2908,1751,620
2021-05-06,1658,1191,592
2021-05-07,1957,1397,552
2021-05-08,1248,1149,334
2021-05-09,750,550,356
2021-05-10,1893,836,586
2021-05-11,1978,1137,663
2021-05-12,1511,1146,495
2021-05-13,1727,1200,399
2021-05-14,1865,1500,318
2021-05-15,2946,1912,515
2021-05-16,2923,1715,533
2021-05-17,3428,2100,572
2021-05-18,2907,1396,565
2021-05-19,2761,1130,406
2021-05-20,3188,999,472
2021-05-21,3101,1140,604
2021-05-22,2580,969,536
2021-05-23,1110,827,404
