Day,Count
2021-01-01,2
2021-01-02,2
2021-01-03,5
2021-01-04,7
2021-01-05,9
2021-01-06,13
2021-01-07,14
2021-01-08,18
2021-01-09,7
2021-01-10,4
2021-01-11,13
2021-01-12,12
2021-01-13,16
2021-01-14,14
2021-01-15,13
2021-01-16,8
2021-01-17,7
2021-01-18,17
2021-01-19,33
2021-01-20,31
2021-01-21,16
2021-01-22,21
2021-01-23,20
2021-01-24,16
2021-01-25,28
2021-01-26,33
2021-01-27,29
2021-01-28,19
2021-01-29,19
2021-01-30,6
2021-01-31,6
2021-02-01,24
2021-02-02,28
2021-02-03,19
2021-02-04,17
2021-02-05,13
2021-02-06,9
2021-02-07,10
2021-02-08,16
2021-02-09,39
2021-02-10,27
2021-02-11,19
2021-02-12,19
2021-02-13,7
2021-02-14,7
2021-02-15,23
2021-02-16,32
2021-02-17,24
2021-02-18,21
2021-02-19,28
2021-02-20,22
2021-02-21,20
2021-02-22,36
2021-02-23,38
2021-02-24,38
2021-02-25,32
2021-02-26,30
2021-02-27,11
2021-02-28,15
2021-03-01,30
2021-03-02,30
2021-03-03,35
2021-03-04,30
2021-03-05,33
2021-03-06,21
2021-03-07,17
2021-03-08,27
2021-03-09,36
2021-03-10,12
2021-03-11,20
2021-03-12,27
2021-03-13,10
2021-03-14,9
2021-03-15,30
2021-03-16,33
2021-03-17,19
2021-03-18,10
2021-03-19,15
2021-03-20,12
2021-03-21,6
2021-03-22,25
2021-03-23,26
2021-03-24,11
2021-03-25,17
2021-03-26,15
2021-03-27,5
2021-03-28,13
2021-03-29,30
2021-03-30,24
2021-03-31,24
2021-04-01,29
2021-04-02,24
2021-04-03,15
2021-04-04,9
2021-04-05,17
2021-04-06,24
2021-04-07,36
2021-04-08,28
2021-04-09,30
2021-04-10,9
2021-04-11,14
2021-04-12,35
2021-04-13,24
2021-04-14,18
2021-04-15,23
2021-04-16,24
2021-04-17,14
2021-04-18,15
2021-04-19,26
2021-04-20,36
2021-04-21,32
2021-04-22,34
2021-04-23,30
2021-04-24,13
2021-04-25,14
2021-04-26,41
2021-04-27,32
2021-04-28,30
2021-04-29,32
2021-04-30,29
2021-05-01,15
2021-05-02,13
2021-05-03,41
2021-05-04,29
2021-05-05,44
2021-05-06,26
2021-05-07,50
2021-05-08,15
2021-05-09,6
2021-05-10,38
2021-05-11,49
2021-05-12,34
2021-05-13,45
2021-05-14,29
2021-05-15,50
2021-05-16,38
2021-05-17,56
2021-05-18,54
2021-05-19,54
2021-05-20,59
2021-05-21,59
2021-05-22,41
2021-05-23,27
2021-05-24,68
2021-05-25,61
2021-05-26,69
2021-05-27,79
2021-05-28,56
2021-05-29,43
2021-05-30,33
2021-05-31,48
2021-06-01,65
2021-06-02,69
2021-06-03,53
2021-06-04,60
2021-06-05,57
2021-06-06,60
2021-06-07,47
2021-06-08,30
2021-06-09,35
2021-06-10,31
2021-06-11,31
2021-06-12,18
2021-06-13,16
2021-06-14,61
2021-06-15,52
2021-06-16,55
2021-06-17,47
2021-06-18,55
2021-06-19,25
2021-06-20,28
2021-06-21,60
2021-06-22,50
2021-06-23,51
2021-06-24,51
2021-06-25,45
2021-06-26,17
2021-06-27,18
2021-06-28,59
2021-06-29,47
2021-06-30,77
2021-07-01,55
2021-07-02,48
2021-07-03,18
2021-07-04,16
2021-07-05,42
2021-07-06,50
2021-07-07,45
2021-07-08,66
2021-07-09,45
2021-07-10,24
2021-07-11,27
2021-07-12,49
2021-07-13,58
2021-07-14,61
2021-07-15,45
2021-07-16,59
2021-07-17,29
2021-07-18,29
2021-07-19,60
2021-07-20,52
2021-07-21,44
2021-07-22,35
2021-07-23,40
2021-07-24,27
2021-07-25,38
2021-07-26,65
2021-07-27,67
2021-07-28,56
2021-07-29,72
2021-07-30,74
2021-07-31,55
2021-08-01,43
2021-08-02,83
2021-08-03,74
2021-08-04,85
2021-08-05,78
2021-08-06,81
2021-08-07,29
2021-08-08,34
2021-08-09,55
2021-08-10,119
2021-08-11,88
2021-08-12,86
2021-08-13,78
2021-08-14,32
2021-08-15,35
2021-08-16,71
2021-08-17,73
2021-08-18,89
2021-08-19,79
2021-08-20,73
2021-08-21,42
2021-08-22,47
2021-08-23,72
2021-08-24,67
2021-08-25,85
2021-08-26,81
2021-08-27,89
2021-08-28,55
2021-08-29,60
2021-08-30,91
2021-08-31,99
2021-09-01,96
2021-09-02,96
2021-09-03,80
2021-09-04,36
2021-09-05,44
2021-09-06,77
2021-09-07,83
2021-09-08,93
2021-09-09,98
2021-09-10,92
2021-09-11,69
2021-09-12,61
2021-09-13,77
2021-09-14,86
2021-09-15,99
2021-09-16,68
2021-09-17,62
2021-09-18,48
2021-09-19,51
2021-09-20,65
2021-09-21,97
2021-09-22,105
2021-09-23,100
2021-09-24,108
2021-09-25,127
2021-09-26,134
2021-09-27,96
2021-09-28,94
2021-09-29,90
2021-09-30,118
2021-10-01,140
2021-10-02,103
2021-10-03,89
2021-10-04,81
2021-10-05,91
2021-10-06,88
2021-10-07,68
2021-10-08,68
2021-10-09,52
2021-10-10,37
2021-10-11,86
2021-10-12,99
2021-10-13,94
2021-10-14,100
2021-10-15,93
2021-10-16,77
2021-10-17,69
2021-10-18,93
2021-10-19,83
2021-10-20,84
2021-10-21,103
2021-10-22,78
2021-10-23,112
2021-10-24,142
2021-10-25,91
2021-10-26,74
2021-10-27,70
2021-10-28,85
2021-10-29,123
2021-10-30,137
2021-10-31,165
2021-11-01,92
2021-11-02,126
2021-11-03,129
2021-11-04,106
2021-11-05,91
2021-11-06,83
2021-11-07,113
2021-11-08,123
2021-11-09,99
2021-11-10,88
2021-11-11,102
2021-11-12,105
