Day,Percent
2021-01-01,6.37
2021-01-02,9.01
2021-01-03,7.97
2021-01-04,18.97
2021-01-05,22.04
2021-01-06,28.45
2021-01-07,34.68
2021-01-08,32.54
2021-01-09,18.26
2021-01-10,13.94
2021-01-11,28.93
2021-01-12,36.0
2021-01-13,44.45
2021-01-14,33.88
2021-01-15,28.46
2021-01-16,18.19
2021-01-17,18.04
2021-01-18,33.6
2021-01-19,51.97
2021-01-20,46.33
2021-01-21,34.56
2021-01-22,32.15
2021-01-23,29.58
2021-01-24,28.38
2021-01-25,44.74
2021-01-26,42.77
2021-01-27,42.24
2021-01-28,36.59
2021-01-29,30.54
2021-01-30,20.96
2021-01-31,15.89
2021-02-01,37.8
2021-02-02,31.43
2021-02-03,34.86
2021-02-04,31.64
2021-02-05,26.97
2021-02-06,18.08
2021-02-07,15.74
2021-02-08,32.78
2021-02-09,39.46
2021-02-10,32.99
2021-02-11,27.9
2021-02-12,28.13
2021-02-13,16.94
2021-02-14,13.03
2021-02-15,25.13
2021-02-16,28.72
2021-02-17,36.05
2021-02-18,34.19
2021-02-19,34.52
2021-02-20,22.73
2021-02-21,23.0
2021-02-22,40.3
2021-02-23,44.55
2021-02-24,38.58
2021-02-25,33.97
2021-02-26,35.22
2021-02-27,20.29
2021-02-28,18.4
2021-03-01,36.87
2021-03-02,33.65
2021-03-03,42.47
2021-03-04,37.39
2021-03-05,34.53
2021-03-06,22.13
2021-03-07,20.62
2021-03-08,34.34
2021-03-09,36.67
2021-03-10,28.58
2021-03-11,30.17
2021-03-12,26.36
2021-03-13,19.17
2021-03-14,16.11
2021-03-15,34.73
2021-03-16,33.34
2021-03-17,26.34
2021-03-18,27.05
2021-03-19,27.05
2021-03-20,19.19
2021-03-21,17.15
2021-03-22,28.29
2021-03-23,26.09
2021-03-24,22.09
2021-03-25,23.81
2021-03-26,24.6
2021-03-27,13.66
2021-03-28,18.51
2021-03-29,30.77
2021-03-30,31.44
2021-03-31,29.59
2021-04-01,26.17
2021-04-02,24.73
2021-04-03,16.79
2021-04-04,16.12
2021-04-05,25.38
2021-04-06,29.82
2021-04-07,35.59
2021-04-08,28.09
2021-04-09,26.94
2021-04-10,16.18
2021-04-11,14.34
2021-04-12,31.79
2021-04-13,27.12
2021-04-14,26.32
2021-04-15,24.92
2021-04-16,25.43
2021-04-17,17.19
2021-04-18,14.68
2021-04-19,24.58
2021-04-20,24.25
2021-04-21,23.83
2021-04-22,26.48
2021-04-23,24.51
2021-04-24,16.94
2021-04-25,15.59
2021-04-26,33.76
2021-04-27,25.56
2021-04-28,27.42
2021-04-29,30.32
2021-04-30,28.45
2021-05-01,17.03
2021-05-02,14.47
2021-05-03,31.5
2021-05-04,29.43
2021-05-05,34.08
2021-05-06,27.18
2021-05-07,35.2
2021-05-08,18.21
2021-05-09,17.24
2021-05-10,30.42
2021-05-11,27.71
2021-05-12,27.62
2021-05-13,29.03
2021-05-14,29.14
2021-05-15,33.14
2021-05-16,25.82
2021-05-17,33.77
2021-05-18,28.42
2021-05-19,25.27
2021-05-20,27.25
2021-05-21,24.1
2021-05-22,19.22
2021-05-23,15.14
2021-05-24,26.82
2021-05-25,25.5
2021-05-26,25.94
2021-05-27,26.92
2021-05-28,22.97
2021-05-29,16.13
2021-05-30,14.35
2021-05-31,19.05
2021-06-01,21.9
2021-06-02,23.51
2021-06-03,21.06
2021-06-04,21.89
2021-06-05,16.87
2021-06-06,17.66
2021-06-07,17.36
2021-06-08,18.4
2021-06-09,17.03
2021-06-10,16.89
2021-06-11,14.55
2021-06-12,10.29
2021-06-13,10.03
2021-06-14,19.98
2021-06-15,20.93
2021-06-16,22.26
2021-06-17,19.89
2021-06-18,21.31
2021-06-19,11.16
2021-06-20,10.79
2021-06-21,20.18
2021-06-22,21.07
2021-06-23,21.37
2021-06-24,20.34
2021-06-25,18.56
2021-06-26,10.86
2021-06-27,10.88
2021-06-28,20.81
2021-06-29,20.78
2021-06-30,25.59
2021-07-01,24.15
2021-07-02,20.4
2021-07-03,12.43
2021-07-04,10.42
2021-07-05,18.23
2021-07-06,21.27
2021-07-07,20.4
2021-07-08,25.5
2021-07-09,21.84
2021-07-10,13.9
2021-07-11,11.83
2021-07-12,23.36
2021-07-13,25.51
2021-07-14,23.32
2021-07-15,22.3
2021-07-16,23.02
2021-07-17,17.58
2021-07-18,15.89
2021-07-19,25.65
2021-07-20,23.85
2021-07-21,23.5
2021-07-22,19.63
2021-07-23,18.03
2021-07-24,13.99
2021-07-25,14.14
2021-07-26,29.76
2021-07-27,27.56
2021-07-28,29.29
2021-07-29,28.89
2021-07-30,29.83
2021-07-31,20.9
2021-08-01,18.74
2021-08-02,33.92
2021-08-03,33.97
2021-08-04,35.65
2021-08-05,31.72
2021-08-06,30.71
2021-08-07,19.58
2021-08-08,19.44
2021-08-09,30.71
2021-08-10,38.39
2021-08-11,35.34
2021-08-12,34.81
2021-08-13,32.5
2021-08-14,21.69
2021-08-15,17.83
2021-08-16,27.74
2021-08-17,33.94
2021-08-18,33.54
2021-08-19,33.78
2021-08-20,32.65
2021-08-21,23.6
2021-08-22,22.94
2021-08-23,32.05
2021-08-24,29.76
2021-08-25,31.84
2021-08-26,31.85
2021-08-27,31.58
2021-08-28,23.43
2021-08-29,24.08
2021-08-30,32.72
2021-08-31,33.43
2021-09-01,32.64
2021-09-02,34.51
2021-09-03,29.49
2021-09-04,19.24
2021-09-05,19.61
2021-09-06,28.03
2021-09-07,29.06
2021-09-08,32.35
2021-09-09,32.94
2021-09-10,29.17
2021-09-11,23.26
2021-09-12,22.64
2021-09-13,29.83
2021-09-14,27.73
2021-09-15,25.73
2021-09-16,22.27
2021-09-17,20.82
2021-09-18,17.23
2021-09-19,16.2
2021-09-20,23.19
2021-09-21,23.85
2021-09-22,25.51
2021-09-23,25.7
2021-09-24,25.63
2021-09-25,22.47
2021-09-26,24.14
2021-09-27,24.86
2021-09-28,23.17
2021-09-29,22.81
2021-09-30,21.97
2021-10-01,25.43
2021-10-02,20.7
2021-10-03,21.66
2021-10-04,21.2
2021-10-05,20.4
2021-10-06,19.22
2021-10-07,17.6
2021-10-08,16.75
2021-10-09,12.74
2021-10-10,12.63
2021-10-11,18.82
2021-10-12,19.08
2021-10-13,20.04
2021-10-14,20.63
2021-10-15,21.08
2021-10-16,14.38
2021-10-17,15.97
2021-10-18,20.07
2021-10-19,17.77
2021-10-20,19.12
2021-10-21,21.93
2021-10-22,19.93
2021-10-23,22.42
2021-10-24,24.44
2021-10-25,22.25
2021-10-26,20.71
2021-10-27,18.86
2021-10-28,18.3
2021-10-29,23.19
2021-10-30,22.1
2021-10-31,25.77
2021-11-01,23.31
2021-11-02,24.12
2021-11-03,22.36
2021-11-04,22.1
2021-11-05,21.04
2021-11-06,18.41
2021-11-07,18.01
2021-11-08,20.69
2021-11-09,19.59
2021-11-10,18.67
2021-11-11,20.21
2021-11-12,18.37
