Day,Count
2021-01-01,4
2021-01-03,3
2021-01-04,2
2021-01-05,6
2021-01-06,4
2021-01-07,6
2021-01-08,34
2021-01-09,2
2021-01-10,2
2021-01-11,32
2021-01-12,13
2021-01-13,18
2021-01-14,14
2021-01-15,19
2021-01-16,13
2021-01-17,5
2021-01-18,25
2021-01-19,47
2021-01-20,48
2021-01-21,13
2021-01-22,18
2021-01-23,60
2021-01-24,34
2021-01-25,29
2021-01-26,51
2021-01-27,39
2021-01-28,19
2021-01-29,19
2021-01-30,8
2021-01-31,11
2021-02-01,26
2021-02-02,36
2021-02-03,16
2021-02-04,16
2021-02-05,17
2021-02-06,10
2021-02-07,6
2021-02-08,11
2021-02-09,49
2021-02-10,47
2021-02-11,28
2021-02-12,22
2021-02-13,6
2021-02-14,3
2021-02-15,34
2021-02-16,42
2021-02-17,27
2021-02-18,45
2021-02-19,43
2021-02-20,32
2021-02-21,35
2021-02-22,52
2021-02-23,64
2021-02-24,67
2021-02-25,46
2021-02-26,34
2021-02-27,16
2021-02-28,18
2021-03-01,47
2021-03-02,54
2021-03-03,97
2021-03-04,35
2021-03-05,30
2021-03-06,21
2021-03-07,28
2021-03-08,43
2021-03-09,52
2021-03-10,11
2021-03-11,38
2021-03-12,38
2021-03-13,10
2021-03-14,11
2021-03-15,46
2021-03-16,46
2021-03-17,20
2021-03-18,6
2021-03-19,14
2021-03-20,8
2021-03-22,22
2021-03-23,17
2021-03-24,13
2021-03-25,18
2021-03-26,23
2021-03-27,1
2021-03-28,21
2021-03-29,43
2021-03-30,45
2021-03-31,28
2021-04-01,20
2021-04-02,22
2021-04-03,13
2021-04-04,6
2021-04-05,23
2021-04-06,28
2021-04-07,52
2021-04-08,33
2021-04-09,39
2021-04-10,10
2021-04-11,15
2021-04-12,22
2021-04-13,62
2021-04-14,28
2021-04-15,54
2021-04-16,43
2021-04-17,17
2021-04-18,18
2021-04-19,34
2021-04-20,43
2021-04-21,48
2021-04-22,60
2021-04-23,40
2021-04-24,11
2021-04-25,18
2021-04-26,77
2021-04-27,44
2021-04-28,54
2021-04-29,45
2021-04-30,44
2021-05-01,14
2021-05-02,12
2021-05-03,38
2021-05-04,53
2021-05-05,99
2021-05-06,43
2021-05-07,85
2021-05-08,30
2021-05-09,2
2021-05-10,36
2021-05-11,71
2021-05-12,53
2021-05-13,68
2021-05-14,46
2021-05-15,63
2021-05-16,104
2021-05-17,111
2021-05-18,72
2021-05-19,102
2021-05-20,134
2021-05-21,86
2021-05-22,139
2021-05-23,68
2021-05-24,126
2021-05-25,110
2021-05-26,126
2021-05-27,106
2021-05-28,135
2021-05-29,66
2021-05-30,52
2021-05-31,203
2021-06-01,131
2021-06-02,95
2021-06-03,84
2021-06-04,74
2021-06-05,78
2021-06-06,98
2021-06-07,60
2021-06-08,65
2021-06-09,94
2021-06-10,61
2021-06-11,44
2021-06-12,22
2021-06-13,15
2021-06-14,122
2021-06-15,92
2021-06-16,84
2021-06-17,66
2021-06-18,72
2021-06-19,29
2021-06-20,40
2021-06-21,155
2021-06-22,100
2021-06-23,81
2021-06-24,73
2021-06-25,94
2021-06-26,30
2021-06-27,17
2021-06-28,64
2021-06-29,89
2021-06-30,135
2021-07-01,149
2021-07-02,100
2021-07-03,14
2021-07-04,53
2021-07-05,89
2021-07-06,83
2021-07-07,108
2021-07-08,132
2021-07-09,99
2021-07-10,55
2021-07-11,141
2021-07-12,79
2021-07-13,105
2021-07-14,99
2021-07-15,106
2021-07-16,146
2021-07-17,79
2021-07-18,49
2021-07-19,107
2021-07-20,89
2021-07-21,90
2021-07-22,116
2021-07-23,58
2021-07-24,29
2021-07-25,68
2021-07-26,94
2021-07-27,156
2021-07-28,101
2021-07-29,140
2021-07-30,127
2021-07-31,124
2021-08-01,92
2021-08-02,240
2021-08-03,186
2021-08-04,131
2021-08-05,140
2021-08-06,163
2021-08-07,52
2021-08-08,62
2021-08-09,139
2021-08-10,656
2021-08-11,290
2021-08-12,278
2021-08-13,164
2021-08-14,76
2021-08-15,101
2021-08-16,176
2021-08-17,188
2021-08-18,229
2021-08-19,202
2021-08-20,136
2021-08-21,34
2021-08-22,77
2021-08-23,160
2021-08-24,102
2021-08-25,201
2021-08-26,133
2021-08-27,184
2021-08-28,121
2021-08-29,129
2021-08-30,153
2021-08-31,155
2021-09-01,190
2021-09-02,188
2021-09-03,164
2021-09-04,40
2021-09-05,76
2021-09-06,188
2021-09-07,152
2021-09-08,163
2021-09-09,244
2021-09-10,240
2021-09-11,132
2021-09-12,184
2021-09-13,180
2021-09-14,199
2021-09-15,197
2021-09-16,156
2021-09-17,92
2021-09-18,83
2021-09-19,67
2021-09-20,125
2021-09-21,171
2021-09-22,238
2021-09-23,179
