Day,Count
2021-01-03,1
2021-01-04,3
2021-01-05,4
2021-01-06,2
2021-01-07,4
2021-01-08,5
2021-01-09,1
2021-01-11,2
2021-01-12,1
2021-01-13,2
2021-01-14,2
2021-01-15,1
2021-01-18,1
2021-01-19,4
2021-01-20,4
2021-01-22,1
2021-01-23,2
2021-01-24,3
2021-01-25,3
2021-01-26,6
2021-01-27,2
2021-01-28,3
2021-01-29,3
2021-02-02,3
2021-02-03,1
2021-02-04,2
2021-02-05,1
2021-02-07,1
2021-02-08,1
2021-02-09,4
2021-02-10,3
2021-02-12,2
2021-02-15,2
2021-02-17,1
2021-02-20,1
2021-02-22,1
2021-02-24,4
2021-02-25,4
2021-02-26,3
2021-02-27,1
2021-02-28,1
2021-03-01,2
2021-03-02,1
2021-03-03,4
2021-03-04,2
2021-03-06,1
2021-03-08,1
2021-03-09,4
2021-03-11,3
2021-03-12,1
2021-03-15,2
2021-03-16,3
2021-03-17,1
2021-03-18,1
2021-03-21,1
2021-03-22,2
2021-03-23,2
2021-03-24,1
2021-03-27,1
2021-03-28,4
2021-03-29,6
2021-03-30,5
2021-03-31,4
2021-04-01,4
2021-04-02,1
2021-04-03,1
2021-04-04,1
2021-04-06,2
2021-04-07,5
2021-04-08,3
2021-04-09,5
2021-04-11,1
2021-04-12,6
2021-04-13,3
2021-04-14,2
2021-04-15,2
2021-04-16,1
2021-04-18,2
2021-04-19,1
2021-04-20,5
2021-04-21,4
2021-04-22,3
2021-04-23,3
2021-04-24,1
2021-04-25,1
2021-04-26,4
2021-04-27,2
2021-04-28,1
2021-04-29,1
2021-04-30,2
2021-05-01,4
2021-05-03,3
2021-05-04,4
2021-05-05,9
2021-05-06,2
2021-05-07,4
2021-05-08,1
2021-05-09,1
2021-05-10,2
2021-05-11,8
2021-05-12,3
2021-05-13,6
2021-05-14,5
2021-05-15,19
2021-05-16,11
2021-05-17,7
2021-05-18,9
2021-05-19,7
2021-05-20,7
2021-05-21,11
2021-05-22,6
2021-05-23,5
2021-05-24,5
2021-05-25,9
2021-05-26,10
2021-05-27,18
2021-05-28,18
2021-05-29,13
2021-05-30,8
2021-05-31,6
2021-06-01,13
2021-06-02,15
2021-06-03,10
2021-06-04,10
2021-06-05,13
2021-06-06,11
2021-06-07,4
2021-06-08,4
2021-06-09,1
2021-06-10,3
2021-06-11,1
2021-06-14,6
2021-06-15,2
2021-06-16,3
2021-06-17,3
2021-06-18,2
2021-06-19,4
2021-06-20,4
2021-06-21,4
2021-06-22,2
2021-06-23,4
2021-06-24,5
2021-06-25,5
2021-06-26,1
2021-06-28,5
2021-06-29,5
2021-06-30,3
2021-07-01,4
2021-07-02,3
2021-07-03,3
2021-07-05,1
2021-07-06,6
2021-07-07,2
2021-07-08,4
2021-07-09,5
2021-07-10,3
2021-07-11,1
2021-07-12,4
2021-07-13,6
2021-07-14,5
2021-07-15,3
2021-07-16,7
2021-07-17,1
2021-07-18,2
2021-07-19,10
2021-07-20,2
2021-07-21,3
2021-07-22,4
2021-07-23,3
2021-07-24,2
2021-07-25,7
2021-07-26,5
2021-07-27,5
2021-07-28,8
2021-07-29,6
2021-07-30,7
2021-07-31,6
2021-08-01,4
2021-08-02,7
2021-08-03,3
2021-08-04,6
2021-08-05,11
2021-08-06,4
2021-08-07,2
2021-08-08,2
2021-08-09,1
2021-08-10,15
2021-08-11,6
2021-08-12,3
2021-08-13,7
2021-08-14,3
2021-08-15,4
2021-08-16,5
2021-08-17,3
2021-08-18,10
2021-08-19,1
2021-08-20,4
2021-08-21,4
2021-08-22,7
2021-08-23,2
2021-08-24,7
2021-08-25,10
2021-08-26,7
2021-08-27,6
2021-08-28,9
2021-08-29,7
2021-08-30,10
2021-08-31,6
2021-09-01,7
2021-09-02,4
2021-09-03,3
2021-09-05,3
2021-09-06,6
2021-09-07,4
2021-09-08,11
2021-09-09,8
2021-09-10,9
2021-09-11,7
2021-09-12,8
2021-09-13,4
2021-09-14,14
2021-09-15,17
2021-09-16,3
2021-09-17,9
2021-09-18,3
2021-09-19,4
2021-09-20,10
2021-09-21,12
2021-09-22,7
2021-09-23,14
2021-09-24,21
2021-09-25,50
2021-09-26,60
2021-09-27,10
2021-09-28,3
2021-09-29,4
2021-09-30,6
2021-10-01,3
2021-10-02,8
2021-10-03,6
2021-10-04,5
2021-10-05,5
2021-10-06,5
2021-10-07,4
2021-10-08,3
2021-10-09,3
2021-10-10,3
2021-10-11,12
2021-10-12,12
2021-10-13,9
2021-10-14,11
2021-10-15,8
2021-10-16,13
2021-10-17,4
2021-10-18,14
2021-10-19,6
2021-10-20,8
2021-10-21,10
2021-10-22,9
2021-10-23,14
2021-10-24,35
2021-10-25,13
2021-10-26,9
2021-10-27,9
2021-10-28,10
2021-10-29,19
2021-10-30,29
2021-10-31,31
2021-11-01,1
2021-11-02,11
2021-11-03,6
2021-11-04,7
2021-11-05,4
2021-11-06,6
2021-11-07,9
2021-11-08,12
2021-11-09,4
2021-11-10,4
2021-11-11,10
2021-11-12,3
