Day,Count
2021-01-01,357
2021-01-02,197
2021-01-03,351
2021-01-04,418
2021-01-05,426
2021-01-06,588
2021-01-07,825
2021-01-08,784
2021-01-09,486
2021-01-10,297
2021-01-11,686
2021-01-12,792
2021-01-13,1183
2021-01-14,616
2021-01-15,727
2021-01-16,375
2021-01-17,355
2021-01-18,1235
2021-01-19,1822
2021-01-20,1719
2021-01-21,1313
2021-01-22,1381
2021-01-23,1366
2021-01-24,1367
2021-01-25,2146
2021-01-26,2425
2021-01-27,1554
2021-01-28,1570
2021-01-29,1314
2021-01-30,1210
2021-01-31,775
2021-02-01,1825
2021-02-02,2060
2021-02-03,997
2021-02-04,1107
2021-02-05,1152
2021-02-06,610
2021-02-07,610
2021-02-08,1202
2021-02-09,2017
2021-02-10,2425
2021-02-11,987
2021-02-12,1298
2021-02-13,779
2021-02-14,757
2021-02-15,1532
2021-02-16,1736
2021-02-17,1474
2021-02-18,1344
2021-02-19,2060
2021-02-20,1845
2021-02-21,1484
2021-02-22,2903
2021-02-23,2514
2021-02-24,2283
2021-02-25,2111
2021-02-26,2195
2021-02-27,1225
2021-02-28,1011
2021-03-01,2371
2021-03-02,2053
2021-03-03,2379
2021-03-04,2829
2021-03-05,2037
2021-03-06,1660
2021-03-07,1324
2021-03-08,1660
2021-03-09,2185
2021-03-10,1919
2021-03-11,1668
2021-03-12,1833
2021-03-13,1142
2021-03-14,1070
2021-03-15,1993
2021-03-16,1926
2021-03-17,1357
2021-03-18,1307
2021-03-19,1692
2021-03-20,1283
2021-03-21,1262
2021-03-22,2202
2021-03-23,2245
2021-03-24,2896
2021-03-25,1616
2021-03-26,1751
2021-03-27,1126
2021-03-28,1298
2021-03-29,2387
2021-03-30,2504
2021-03-31,1967
2021-04-01,2503
2021-04-02,1818
2021-04-03,1746
2021-04-04,6443
2021-04-05,1718
2021-04-06,2195
2021-04-07,2239
2021-04-08,1765
2021-04-09,2251
2021-04-10,1128
2021-04-11,1119
2021-04-12,2260
2021-04-13,2415
2021-04-14,2253
2021-04-15,2716
2021-04-16,2649
2021-04-17,2114
2021-04-18,1190
2021-04-19,7283
2021-04-20,2255
2021-04-21,2233
2021-04-22,2787
2021-04-23,2584
2021-04-24,1482
2021-04-25,1367
2021-04-26,2877
2021-04-27,2450
2021-04-28,2999
2021-04-29,2305
2021-04-30,3253
2021-05-01,2068
2021-05-02,1402
2021-05-03,2691
2021-05-04,2739
2021-05-05,5279
2021-05-06,3441
2021-05-07,3906
2021-05-08,2731
2021-05-09,1656
2021-05-10,3315
2021-05-11,3778
2021-05-12,3152
2021-05-13,3326
2021-05-14,3683
2021-05-15,5373
2021-05-16,5171
2021-05-17,6100
2021-05-18,4868
2021-05-19,4297
2021-05-20,4659
2021-05-21,4845
2021-05-22,4085
2021-05-23,2341
2021-05-24,4323
2021-05-25,4205
2021-05-26,4295
2021-05-27,5079
2021-05-28,3948
2021-05-29,3668
2021-05-30,2855
2021-05-31,4541
2021-06-01,5309
2021-06-02,3984
2021-06-03,4403
2021-06-04,4954
2021-06-05,5825
2021-06-06,4992
2021-06-07,3599
2021-06-08,3157
2021-06-09,3341
2021-06-10,3809
2021-06-11,2808
2021-06-12,2041
2021-06-13,1557
2021-06-14,4072
2021-06-15,4360
2021-06-16,3991
2021-06-17,3782
2021-06-18,3513
2021-06-19,1657
2021-06-20,2076
2021-06-21,4839
2021-06-22,5083
2021-06-23,4408
2021-06-24,3991
2021-06-25,3452
2021-06-26,1970
2021-06-27,2161
2021-06-28,4468
2021-06-29,4715
2021-06-30,5905
2021-07-01,9431
2021-07-02,4762
2021-07-03,2475
2021-07-04,1585
2021-07-05,4282
2021-07-06,4093
2021-07-07,3701
2021-07-08,4782
2021-07-09,4216
2021-07-10,3211
2021-07-11,2546
2021-07-12,4106
2021-07-13,5115
2021-07-14,4570
2021-07-15,3948
2021-07-16,4432
2021-07-17,3584
2021-07-18,2640
2021-07-19,3873
2021-07-20,3757
2021-07-21,3350
2021-07-22,3214
2021-07-23,3487
2021-07-24,2550
2021-07-25,3136
2021-07-26,5758
2021-07-27,5639
2021-07-28,5939
2021-07-29,7420
2021-07-30,7195
2021-07-31,6005
2021-08-01,3970
2021-08-02,6943
2021-08-03,7721
2021-08-04,7247
2021-08-05,6229
2021-08-06,7579
2021-08-07,4052
2021-08-08,4066
2021-08-09,6187
2021-08-10,12068
2021-08-11,8134
2021-08-12,9906
2021-08-13,7128
2021-08-14,6476
2021-08-15,4681
2021-08-16,8634
2021-08-17,8563
2021-08-18,8831
2021-08-19,7341
2021-08-20,7969
2021-08-21,5775
2021-08-22,5470
2021-08-23,6689
2021-08-24,7025
2021-08-25,8852
2021-08-26,8343
2021-08-27,7597
2021-08-28,5622
2021-08-29,8527
2021-08-30,11686
2021-08-31,9650
2021-09-01,9199
2021-09-02,8716
2021-09-03,7559
2021-09-04,4240
2021-09-05,4429
2021-09-06,7578
2021-09-07,8298
2021-09-08,9400
2021-09-09,9264
2021-09-10,9083
2021-09-11,6083
2021-09-12,6585
2021-09-13,7428
2021-09-14,8186
2021-09-15,8341
2021-09-16,7001
2021-09-17,6020
2021-09-18,4867
2021-09-19,5529
2021-09-20,7291
2021-09-21,8204
2021-09-22,9603
2021-09-23,7180
2021-09-24,8522
2021-09-25,6740
2021-09-26,7368
2021-09-27,9115
2021-09-28,7937
2021-09-29,8466
2021-09-30,8416
2021-10-01,13331
2021-10-02,7696
2021-10-03,8272
2021-10-04,10937
2021-10-05,7984
2021-10-06,7820
2021-10-07,5821
2021-10-08,5502
2021-10-09,4929
2021-10-10,4413
2021-10-11,7251
2021-10-12,7478
2021-10-13,6858
2021-10-14,7849
2021-10-15,8031
