Day,Count
2021-01-02,1
2021-01-03,1
2021-01-04,2
2021-01-05,1
2021-01-06,2
2021-01-07,9
2021-01-08,4
2021-01-09,1
2021-01-12,5
2021-01-13,1
2021-01-14,2
2021-01-18,2
2021-01-19,2
2021-01-20,10
2021-01-21,2
2021-01-22,4
2021-01-23,3
2021-01-24,4
2021-01-25,3
2021-01-26,6
2021-01-27,1
2021-01-28,2
2021-01-29,3
2021-01-31,2
2021-02-01,4
2021-02-02,5
2021-02-04,1
2021-02-06,1
2021-02-07,2
2021-02-08,2
2021-02-09,5
2021-02-10,5
2021-02-12,5
2021-02-14,4
2021-02-15,2
2021-02-17,2
2021-02-18,1
2021-02-19,1
2021-02-20,2
2021-02-21,2
2021-02-22,6
2021-02-23,5
2021-02-24,3
2021-02-25,7
2021-02-26,3
2021-02-27,2
2021-02-28,3
2021-03-01,5
2021-03-03,4
2021-03-04,3
2021-03-05,2
2021-03-06,4
2021-03-07,2
2021-03-08,3
2021-03-09,8
2021-03-10,1
2021-03-11,6
2021-03-12,3
2021-03-13,1
2021-03-14,1
2021-03-15,2
2021-03-16,5
2021-03-17,1
2021-03-18,1
2021-03-19,4
2021-03-20,3
2021-03-21,2
2021-03-22,3
2021-03-23,3
2021-03-24,1
2021-03-25,6
2021-03-26,2
2021-03-27,2
2021-03-28,6
2021-03-29,6
2021-03-30,7
2021-03-31,4
2021-04-01,8
2021-04-02,3
2021-04-03,2
2021-04-04,1
2021-04-06,2
2021-04-07,7
2021-04-08,4
2021-04-09,5
2021-04-10,3
2021-04-11,3
2021-04-12,9
2021-04-13,8
2021-04-14,4
2021-04-15,3
2021-04-16,6
2021-04-17,2
2021-04-18,4
2021-04-19,2
2021-04-20,6
2021-04-21,3
2021-04-22,9
2021-04-23,3
2021-04-24,4
2021-04-25,2
2021-04-26,7
2021-04-27,3
2021-04-28,5
2021-04-29,5
2021-04-30,6
2021-05-01,2
2021-05-02,3
2021-05-03,2
2021-05-04,7
2021-05-05,25
2021-05-06,12
2021-05-07,7
2021-05-08,6
2021-05-09,4
2021-05-10,10
2021-05-11,6
2021-05-12,10
2021-05-13,13
2021-05-14,23
2021-05-15,62
2021-05-16,33
2021-05-17,18
2021-05-18,16
2021-05-19,14
2021-05-20,10
2021-05-21,14
2021-05-22,14
2021-05-23,5
2021-05-24,9
2021-05-25,16
2021-05-26,11
2021-05-27,24
2021-05-28,26
2021-05-29,17
2021-05-30,9
2021-05-31,11
2021-06-01,24
2021-06-02,21
2021-06-03,19
2021-06-04,22
2021-06-05,11
2021-06-06,14
2021-06-07,4
2021-06-08,8
2021-06-09,6
2021-06-10,2
2021-06-11,3
2021-06-12,2
2021-06-13,4
2021-06-14,6
2021-06-15,2
2021-06-16,8
2021-06-17,4
2021-06-18,12
2021-06-19,1
2021-06-20,3
2021-06-21,4
2021-06-22,12
2021-06-23,9
2021-06-24,8
2021-06-25,3
2021-06-26,5
2021-06-27,1
2021-06-28,8
2021-06-29,10
2021-06-30,8
2021-07-01,8
2021-07-02,5
2021-07-03,6
2021-07-05,5
2021-07-06,9
2021-07-07,2
2021-07-08,7
2021-07-09,5
2021-07-10,3
2021-07-11,5
2021-07-12,9
2021-07-13,6
2021-07-14,4
2021-07-15,7
2021-07-16,11
2021-07-17,3
2021-07-18,4
2021-07-19,6
2021-07-20,8
2021-07-21,6
2021-07-22,5
2021-07-23,4
2021-07-24,3
2021-07-25,8
2021-07-26,5
2021-07-27,4
2021-07-28,9
2021-07-29,8
2021-07-30,9
2021-07-31,8
2021-08-01,2
2021-08-02,9
2021-08-03,8
2021-08-04,11
2021-08-05,10
2021-08-06,11
2021-08-07,4
2021-08-08,5
2021-08-09,2
2021-08-10,14
2021-08-11,14
2021-08-12,9
2021-08-13,9
2021-08-14,12
2021-08-15,4
2021-08-16,8
2021-08-17,10
2021-08-18,5
2021-08-19,9
2021-08-20,9
2021-08-21,6
2021-08-22,11
2021-08-23,7
2021-08-24,6
2021-08-25,17
2021-08-26,10
2021-08-27,7
2021-08-28,11
2021-08-29,6
2021-08-30,15
2021-08-31,4
2021-09-01,12
2021-09-02,10
2021-09-03,2
2021-09-04,3
2021-09-05,8
2021-09-06,26
2021-09-07,13
2021-09-08,19
2021-09-09,28
2021-09-10,15
2021-09-11,19
2021-09-12,15
2021-09-13,30
2021-09-14,21
2021-09-15,24
2021-09-16,12
2021-09-17,16
2021-09-18,4
2021-09-19,4
2021-09-20,14
2021-09-21,13
2021-09-22,18
2021-09-23,17
2021-09-24,33
2021-09-25,67
2021-09-26,66
2021-09-27,19
2021-09-28,8
2021-09-29,15
2021-09-30,16
2021-10-01,12
2021-10-02,28
2021-10-03,60
2021-10-04,11
2021-10-05,11
2021-10-06,15
2021-10-07,13
2021-10-08,8
2021-10-09,9
2021-10-10,9
2021-10-11,13
2021-10-12,16
2021-10-13,15
2021-10-14,18
2021-10-15,24
2021-10-16,8
2021-10-17,23
2021-10-18,15
2021-10-19,9
2021-10-20,4
2021-10-21,14
2021-10-22,7
2021-10-23,30
2021-10-24,50
2021-10-25,31
2021-10-26,19
2021-10-27,16
2021-10-28,20
2021-10-29,30
2021-10-30,31
2021-10-31,33
2021-11-01,15
2021-11-02,24
2021-11-03,9
2021-11-04,15
2021-11-05,10
2021-11-06,16
2021-11-07,13
2021-11-08,16
2021-11-09,14
2021-11-10,16
2021-11-11,20
2021-11-12,9
