Day,Count
2021-01-01,38.35
2021-01-03,179.67
2021-01-04,9.89
2021-01-05,110.0
2021-01-06,1641.25
2021-01-07,15.89
2021-01-11,3.07
2021-01-12,28.77
2021-01-13,4.31
2021-01-14,90.25
2021-01-15,5.53
2021-01-16,263.48
2021-01-17,27.85
2021-01-18,8.6
2021-01-19,704.78
2021-01-20,6.87
2021-01-21,83.76
2021-01-22,42.11
2021-01-23,6.35
2021-01-24,51.15
2021-01-25,1471.07
2021-01-26,438.1
2021-01-27,14.81
2021-01-28,6897.71
2021-01-29,78.79
2021-02-01,37.24
2021-02-02,1141.67
2021-02-04,246.35
2021-02-05,30.65
2021-02-06,1.84
2021-02-08,17.57
2021-02-09,12.57
2021-02-10,1.92
2021-02-11,4.22
2021-02-12,41.2
2021-02-15,37.95
2021-02-16,5.3
2021-02-17,14.22
2021-02-18,8.95
2021-02-19,960.47
2021-02-20,238.56
2021-02-21,71.61
2021-02-22,188.42
2021-02-23,11.72
2021-02-24,107.04
2021-02-25,0.27
2021-02-26,137.73
2021-02-28,27.8
2021-03-01,0.85
2021-03-02,78.72
2021-03-03,62.91
2021-03-04,2.53
2021-03-05,29.23
2021-03-06,13.35
2021-03-08,3.6
2021-03-09,52.72
2021-03-10,56.0
2021-03-11,1.98
2021-03-12,41.46
2021-03-15,187.56
2021-03-16,113.7
2021-03-17,632.05
2021-03-19,32.6
2021-03-20,49.25
2021-03-22,1214.46
2021-03-23,178.33
2021-03-24,1159.0
2021-03-25,0.86
2021-03-26,789.28
2021-03-28,8.97
2021-03-29,1.43
2021-03-30,69.03
2021-03-31,125.2
2021-04-01,224.32
2021-04-02,105.44
2021-04-04,545.98
2021-04-05,107.08
2021-04-06,26.55
2021-04-07,30.39
2021-04-08,34.58
2021-04-09,451.0
2021-04-12,41.49
2021-04-13,393.21
2021-04-14,10.51
2021-04-15,995.95
2021-04-16,31.72
2021-04-19,18.17
2021-04-20,1.26
2021-04-21,41.08
2021-04-22,10.88
2021-04-23,55.85
2021-04-25,17.18
2021-04-26,10.49
2021-04-28,803.87
2021-04-29,193.35
2021-04-30,92.19
2021-05-01,7.66
2021-05-02,260.76
2021-05-03,111.88
2021-05-04,3.55
2021-05-05,136.0
2021-05-06,258.62
2021-05-07,119.16
2021-05-10,11.64
2021-05-11,182.86
2021-05-12,171.26
2021-05-13,85.32
2021-05-14,32.92
2021-05-15,275.3
2021-05-16,49.04
2021-05-17,62.19
2021-05-18,33.46
2021-05-19,128.34
2021-05-20,282.16
2021-05-21,166.49
2021-05-22,89.03
2021-05-23,24.02
2021-05-24,223.33
2021-05-25,66.25
2021-05-26,49.24
2021-05-27,135.2
2021-05-28,91.51
2021-05-29,81.94
2021-05-30,235.38
2021-05-31,438.66
2021-06-01,400.45
2021-06-02,163.75
2021-06-03,19.62
2021-06-04,146.69
2021-06-05,217.34
2021-06-06,107.34
2021-06-07,773.28
2021-06-08,7.6
2021-06-09,61.21
2021-06-10,133.83
2021-06-11,57.95
2021-06-13,490.94
2021-06-14,99.51
2021-06-15,104.27
2021-06-16,49.06
2021-06-17,33.82
2021-06-18,16.04
2021-06-19,110.76
2021-06-20,4.48
2021-06-21,360.54
2021-06-22,57.61
2021-06-23,46.52
2021-06-24,245.74
2021-06-25,124.39
2021-06-26,16.17
2021-06-28,22.27
2021-06-29,119.64
2021-06-30,89.81
2021-07-01,93.01
2021-07-02,419.84
2021-07-03,72.21
2021-07-05,30.14
2021-07-06,68.18
2021-07-07,61.34
2021-07-08,190.43
2021-07-09,72.81
2021-07-10,35.41
2021-07-11,474.96
2021-07-12,172.28
2021-07-13,15.14
2021-07-14,28.38
2021-07-15,129.0
2021-07-16,148.92
2021-07-17,29.71
2021-07-18,10.43
2021-07-19,69.62
2021-07-20,1.86
2021-07-21,122.9
2021-07-22,125.09
2021-07-23,85.56
2021-07-24,41.73
2021-07-25,33.94
2021-07-26,164.1
2021-07-27,13.01
2021-07-28,58.88
2021-07-29,97.14
2021-07-30,118.75
2021-07-31,94.39
2021-08-01,35.69
2021-08-02,64.16
2021-08-03,93.86
2021-08-04,65.4
2021-08-05,239.42
2021-08-06,93.1
2021-08-07,12.14
2021-08-08,61.48
2021-08-09,62.16
2021-08-10,139.0
2021-08-11,22.48
2021-08-12,34.97
2021-08-13,36.89
2021-08-14,114.7
2021-08-15,24.98
2021-08-16,74.48
2021-08-17,197.34
2021-08-18,23.35
2021-08-19,32.99
2021-08-20,45.75
2021-08-21,61.88
2021-08-22,72.07
2021-08-23,13.51
2021-08-24,44.85
2021-08-25,61.7
2021-08-26,41.81
2021-08-27,17.14
2021-08-28,161.71
2021-08-29,120.79
2021-08-30,48.76
2021-08-31,45.05
2021-09-01,91.34
2021-09-02,233.42
2021-09-03,19.61
2021-09-04,48.26
2021-09-05,29.81
2021-09-06,8.62
