Day,Count
2021-01-01,7
2021-01-02,10
2021-01-03,9
2021-01-04,22
2021-01-05,26
2021-01-06,33
2021-01-07,43
2021-01-08,41
2021-01-09,23
2021-01-10,17
2021-01-11,35
2021-01-12,45
2021-01-13,56
2021-01-14,42
2021-01-15,35
2021-01-16,22
2021-01-17,22
2021-01-18,42
2021-01-19,66
2021-01-20,63
2021-01-21,47
2021-01-22,45
2021-01-23,42
2021-01-24,42
2021-01-25,68
2021-01-26,68
2021-01-27,68
2021-01-28,60
2021-01-29,51
2021-01-30,35
2021-01-31,27
2021-02-01,65
2021-02-02,55
2021-02-03,61
2021-02-04,56
2021-02-05,48
2021-02-06,32
2021-02-07,28
2021-02-08,59
2021-02-09,73
2021-02-10,63
2021-02-11,53
2021-02-12,54
2021-02-13,32
2021-02-14,25
2021-02-15,49
2021-02-16,56
2021-02-17,71
2021-02-18,67
2021-02-19,68
2021-02-20,45
2021-02-21,46
2021-02-22,83
2021-02-23,94
2021-02-24,81
2021-02-25,72
2021-02-26,75
2021-02-27,43
2021-02-28,39
2021-03-01,80
2021-03-02,72
2021-03-03,93
2021-03-04,83
2021-03-05,77
2021-03-06,50
2021-03-07,47
2021-03-08,80
2021-03-09,88
2021-03-10,68
2021-03-11,73
2021-03-12,63
2021-03-13,46
2021-03-14,38
2021-03-15,83
2021-03-16,81
2021-03-17,64
2021-03-18,66
2021-03-19,66
2021-03-20,47
2021-03-21,42
2021-03-22,71
2021-03-23,66
2021-03-24,55
2021-03-25,60
2021-03-26,61
2021-03-27,34
2021-03-28,47
2021-03-29,80
2021-03-30,83
2021-03-31,79
2021-04-01,73
2021-04-02,68
2021-04-03,46
2021-04-04,44
2021-04-05,68
2021-04-06,79
2021-04-07,95
2021-04-08,75
2021-04-09,73
2021-04-10,44
2021-04-11,39
2021-04-12,89
2021-04-13,77
2021-04-14,75
2021-04-15,71
2021-04-16,74
2021-04-17,50
2021-04-18,43
2021-04-19,72
2021-04-20,72
2021-04-21,71
2021-04-22,81
2021-04-23,75
2021-04-24,52
2021-04-25,48
2021-04-26,107
2021-04-27,81
2021-04-28,88
2021-04-29,97
2021-04-30,93
2021-05-01,55
2021-05-02,47
2021-05-03,103
2021-05-04,98
2021-05-05,123
2021-05-06,100
2021-05-07,132
2021-05-08,69
2021-05-09,66
2021-05-10,118
2021-05-11,110
2021-05-12,111
2021-05-13,119
2021-05-14,125
2021-05-15,163
2021-05-16,135
2021-05-17,181
2021-05-18,156
2021-05-19,142
2021-05-20,155
2021-05-21,140
2021-05-22,113
2021-05-23,89
2021-05-24,159
2021-05-25,155
2021-05-26,160
2021-05-27,172
2021-05-28,152
2021-05-29,109
2021-05-30,98
2021-05-31,132
2021-06-01,157
2021-06-02,173
2021-06-03,159
2021-06-04,167
2021-06-05,130
2021-06-06,137
2021-06-07,135
2021-06-08,144
2021-06-09,133
2021-06-10,131
2021-06-11,112
2021-06-12,79
2021-06-13,77
2021-06-14,150
2021-06-15,154
2021-06-16,162
2021-06-17,143
2021-06-18,154
2021-06-19,80
2021-06-20,77
2021-06-21,142
2021-06-22,150
2021-06-23,153
2021-06-24,145
2021-06-25,131
2021-06-26,75
2021-06-27,73
2021-06-28,140
2021-06-29,140
2021-06-30,174
2021-07-01,162
2021-07-02,134
2021-07-03,80
2021-07-04,65
2021-07-05,113
2021-07-06,131
2021-07-07,124
2021-07-08,153
2021-07-09,131
2021-07-10,82
2021-07-11,70
2021-07-12,138
2021-07-13,152
2021-07-14,138
2021-07-15,132
2021-07-16,136
2021-07-17,103
2021-07-18,92
2021-07-19,149
2021-07-20,139
2021-07-21,137
2021-07-22,115
2021-07-23,104
2021-07-24,80
2021-07-25,81
2021-07-26,172
2021-07-27,159
2021-07-28,171
2021-07-29,169
2021-07-30,173
2021-07-31,121
2021-08-01,107
2021-08-02,195
2021-08-03,198
2021-08-04,211
2021-08-05,189
2021-08-06,187
2021-08-07,119
2021-08-08,118
2021-08-09,187
2021-08-10,238
2021-08-11,224
2021-08-12,221
2021-08-13,207
2021-08-14,139
2021-08-15,115
2021-08-16,180
2021-08-17,224
2021-08-18,223
2021-08-19,227
2021-08-20,221
2021-08-21,160
2021-08-22,158
2021-08-23,223
2021-08-24,208
2021-08-25,227
2021-08-26,229
2021-08-27,227
2021-08-28,171
2021-08-29,176
2021-08-30,245
2021-08-31,252
2021-09-01,249
2021-09-02,265
2021-09-03,225
2021-09-04,146
2021-09-05,149
2021-09-06,220
2021-09-07,231
2021-09-08,263
2021-09-09,276
2021-09-10,247
2021-09-11,200
2021-09-12,196
2021-09-13,266
2021-09-14,254
2021-09-15,241
2021-09-16,210
2021-09-17,199
2021-09-18,164
2021-09-19,154
2021-09-20,223
2021-09-21,232
2021-09-22,253
2021-09-23,258
2021-09-24,266
2021-09-25,246
2021-09-26,278
2021-09-27,290
2021-09-28,271
2021-09-29,267
2021-09-30,259
2021-10-01,302
2021-10-02,249
2021-10-03,272
2021-10-04,267
2021-10-05,259
2021-10-06,245
2021-10-07,225
2021-10-08,213
2021-10-09,161
2021-10-10,159
2021-10-11,238
2021-10-12,242
2021-10-13,251
2021-10-14,259
2021-10-15,267
2021-10-16,181
2021-10-17,202
2021-10-18,255
2021-10-19,227
2021-10-20,245
2021-10-21,282
2021-10-22,253
2021-10-23,288
2021-10-24,324
2021-10-25,297
2021-10-26,269
2021-10-27,246
2021-10-28,241
2021-10-29,310
2021-10-30,300
2021-10-31,355
2021-11-01,323
2021-11-02,332
2021-11-03,309
2021-11-04,308
2021-11-05,294
2021-11-06,259
2021-11-07,254
2021-11-08,295
2021-11-09,281
2021-11-10,268
2021-11-11,292
2021-11-12,267
