,address,balance,Vote,Round,Project Name,Proposal State,Grant Category,Earmarks,OCEAN Granted
0,0x9e95B6c35a43A61B06F19d21FBe008f17B1f5e44,300.0118093941776,Yes,1,Wisdom Of the Web,Not Granted,Build & Integrate,General,0.0
1,0x01e66950353400E93AEe7F041C0303103E2ef5Ab,5271.992998568287,Yes,1,Operation Plankton,Not Granted,Outreach,General,0.0
2,0x362CfE20851584DF00a670b2c8460A3aafD35839,3268.11491548,Yes,1,Operation Plankton,Not Granted,Outreach,General,0.0
3,0x1Daf0b27e0F54a235abb5D52D276033394Eb8F49,567.6879494588621,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
4,0xcC7E9b8331bea863a158589E8EBCF118C72d0683,7084.813123103328,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
5,0xf3a7ACf685c737B632Ffe4265BB9094C25cF8Ac4,536.3817845473446,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
6,0xbbd33AFa85539fa65cc08A2e61a001876D2f13FE,3960.2413043068527,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
7,0x3DA6cb84752975352711ACAb5613B4E23e04fbfc,24510.21392,Yes,1,Operation Plankton,Not Granted,Outreach,General,0.0
8,0xcBdD51CF4e679542de0AC059Ae7399d798870F5F,29999.97808381,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
9,0xAFBA2f63810e1Be2F56e95b77fD20f62a3Aef46a,2124.793355535069,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
10,0xA41960A39265e936d73F76581475F5517f8F259D,4554.57098909636,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
11,0x12843126A739EE01dbDa27102c66ae20689506B9,114.86593440899348,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
12,0x1911176664F147DCb30DA4a4AA6ef6c6849e613f,4446.742291051118,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
13,0xB121b3DdaA9af45Df9878C855079F8A78eea9772,25934.1,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
14,0x2102fbdb989Ad103DFd0D110E639A8abe0e148fF,0.5267964261569978,Yes,1,Operation Plankton,Not Granted,Outreach,General,0.0
15,0x5De4EA2F4fDe1823ea0432FbeB7E8E7a69f8987C,5340.749815216586,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
16,0x07796f0FECABF25A8516d99b0669375246b10C2c,3117.594152443874,Yes,1,Ocean Surfer,Funded,Build & Integrate,General,13000.0
17,0xCe7BE31f48205C48A91A84E777a66252Bba87F0b,6238.163055456334,Yes,1,Wisdom Of the Web,Not Granted,Build & Integrate,General,0.0
18,0x15b5359fd05A37ba6546AaCabe92D9354aD18D07,2230.0,Yes,1,Wisdom Of the Web,Not Granted,Build & Integrate,General,0.0
19,0x655eFe6Eb2021b8CEfE22794d90293aeC37bb325,6435.0,Yes,1,Wisdom Of the Web,Not Granted,Build & Integrate,General,0.0
20,0xF40b005FFE2Db0197b8c301e1C966C2cb3B59A08,5000.0,Yes,1,Wisdom Of the Web,Not Granted,Build & Integrate,General,0.0
21,0xBEc2E3DcC0F554072474A24376419F5d3454b70F,4724.992161564726,Yes,1,Decentralized File Rating,Funded,Build & Integrate,General,13000.0
22,0x06Fbe5d776905ea91899b273e4b663ADF58597eB,10022.7463466783,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
23,0x3c104180D537550d2cC2fe6de12d1A6c6B29A036,2003408.2266651588,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
24,0xebDcbE0f258B7F8Ebb7d3F5E57faE8C2204a5E64,8862.4631086049,Yes,1,APY.vision,Not Granted,Build & Integrate,General,0.0
25,0xb1234459671Bc3C844b7887574748be5bFf8b55F,2491.4624879024286,Yes,1,Wisdom Of the Web,Not Granted,Build & Integrate,General,0.0
26,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,13840.708382944082,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
27,0xf84a022c73F3547932bdb3Cf4a356315fDc76748,11780.0,Yes,1,Ocean Pool Alerts,Funded,Build & Integrate,General,13000.0
28,0x45E48C0a6Fe8b759652624451C83387130C58367,20801.28827419996,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
29,0x01b8744f70cE3386aac11365516B231A78004198,20388.850595227424,Yes,1,Ocean Surfer,Funded,Build & Integrate,General,13000.0
30,0xf773829a6cFF2a51B8fC4E0D146faE34182bf119,20000.0,Yes,1,Ocean Pool Alerts,Funded,Build & Integrate,General,13000.0
31,0x5281aD053cC8906d08E9520318A76db767CEeB4b,20000.0,Yes,1,Ocean Pool Alerts,Funded,Build & Integrate,General,13000.0
32,0xF26dAAEc5d04BEa5cADB01f93D060b668b96a00b,6938.963696628569,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
33,0xB804cb279F84292df5e8D78a6B2Ff315aD3E8B3c,5043.692973201607,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
34,0xE2D0d856Ecfaf305BAee76ddAf76444AD3b8684c,3743.288215579004,Yes,1,Ocean Academy,Funded,Outreach,General,13000.0
35,0xa60556e3bF6424488072Fb09A20Ecb23dd6D609E,2500.0,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
36,0x6217D92CdbbB56046669cd9F86a916447849fd96,456.402581666758,Yes,1,Decentralized File Rating,Funded,Build & Integrate,General,13000.0
37,0x3457124819696E79A3ECa0D08655B287C4F92136,3357.4908726832177,Yes,1,Decentralized File Rating,Funded,Build & Integrate,General,13000.0
38,0x67B69C822553FE57d8B7E354af4f540c4e8963c9,41365.77006754,Yes,1,Data Whale,Funded,Build & Integrate,General,13000.0
