Project Name,Proposal State,Round,Grant Category,Earmarks,Deliverable Checklist,Proposal Standing,OCEAN Requested,OCEAN Granted,Wallet Address,Vote URL,ipfsHash,Snapshot Batch Index,Snapshot Batch Index No,Voted Yes,Voted No
Decentralized File Rating,Funded,1,Build & Integrate,General,,Unreported,,13000,0x31A7f70b8812daEf0A6C7F19575DB09f726F0DD1,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,7,,116244,0
Ocean Pool Alerts,Funded,1,Build & Integrate,General,,Unreported,,13000,0x5281aD053cC8906d08E9520318A76db767CEeB4b,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,8,,121130,0
Ocean Surfer,Funded,1,Build & Integrate,General,,Unreported,,13000,0x821A4dF7E0e6F47038E8D263DcAB539992Df1c21,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,6,,132330,0
Data Whale,Funded,1,Build & Integrate,General,"[x] [X] The ALGA. application (beta) went live on the Apple App Store and Google Playstore
1. https://apps.apple.com/us/app/alga/id1563145038#?platform=iphone
2. https://play.google.com/store/apps/details?id=com.saadyousaf1997.Algas
[x] [X] Medium Article about ALGAs vision was published.
1. https://joyful-tango-mule-62.medium.com/alga-381308075ddc
",Completed,,13000,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,5,,148269,0
Ocean Academy,Funded,1,Outreach,General,,Unreported,,13000,0x5cFDBd9150596b790AAe28e003EFfac9f29081F9,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,3,,2642655,0
Operation Plankton,Not Granted,1,Outreach,General,,,,,0x01e66950353400E93AEe7F041C0303103E2ef5Ab,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,4,,47608,0
Resilient ML,Not Granted,1,Build & Integrate,General,,,,,0x4D4290CBA904aBb4dFbc1568766bCD88e67Be391,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,9,,17939,0
APY.vision,Not Granted,1,Build & Integrate,General,,,,,0x891181a601412593d686439116b32a468441757f,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,2,,8862,0
Wisdom Of the Web,Not Granted,1,Build & Integrate,General,,,,,0xF40b005FFE2Db0197b8c301e1C966C2cb3B59A08,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,QmPLfq9J2Mr4FDAWpYaBq2veYJpiKVgU6JkXYUvV8qa2FC,1,,22695,0
Liquidity Pool Handling,Funded,2,Build & Integrate,General,"[x] [ ] Dissolve a liquidity pool and send back fair shares to the people that are in it by assessing the amount of tokens/liquidity pool shares that the participants own and then splitting up the Ocean in the pool accordingly and sending them to them. This will cost the dissolver ETH and possibly some of their own tokens.
This is impossible as dissolving a liquidity pool is impossible in the current configuration of the liquidity pools. The marketplace sets max tokens to minted tokens so minting more tokens is impossible. The assumption that was made for this is not possible - Trent also did not know about this as stated in the above YouTube video.
[x] [ ] Rebalance a liquidity pool by minting new tokens and sending them to the liquidity pool as well as the token holders. This will also cost the invoker ETH to do the transactions. But this could then be used by e.g. the Swash pool or old pools to fix their token : Ocean ratio.
Minting new tokens is impossible for pools created on the Ocean marketplace, therefore this cannot be done.
[x] [ ] Airdropping an amount tokens of a new pool to pool and token holders of a new pool. This is helpful to reward participants/contributors in a dataset when an algorithm is created out of that data.",Funds Returned,,10000,0x655efe6eb2021b8cefe22794d90293aec37bb325,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,QmVtJoo7hp3G5RXAVu9EjHT38Uknipqs7a78P7o8viLQtm,9,,104460,0
