,voter,created,ipfs,vp,choice
118,0x61Ae4E8691335569776eEAd72D16f4f002E64a56,1633995620,Qma8YViwZ4fdVUasjieGesng8xfRxHEAntp5vQTdjvEJCH,1719.6821537388355,1.0
119,0x61Ae4E8691335569776eEAd72D16f4f002E64a56,1633995583,QmTt8iwgeonidoU7QVuQ1bj9uEu13oidgiJDf1CVUvAYjn,1719.6821537388355,1.0
120,0x61Ae4E8691335569776eEAd72D16f4f002E64a56,1633995526,Qmdj3Bhj6hXJmHUp2E4WUXtiKw5dewEP9WRXLBcxZmWbp3,1719.6821537388355,1.0
121,0x61Ae4E8691335569776eEAd72D16f4f002E64a56,1633995483,QmaFMHfdfnYAMgSRhoViK1AxqouBhv7ixvqwvHtwdeH5Av,1719.6821537388355,1.0
122,0x61Ae4E8691335569776eEAd72D16f4f002E64a56,1633995443,QmWdtgFfLq6JW8W7vp5wUx7vQnjVAsjcvYk2B5PYS8A8LN,1719.6821537388355,1.0
123,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994720,QmQvEsRKCyZ3rPgfRJGpDhekYppUP4bAjPYCkR5nRqLma3,13701.4406028,1.0
124,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994697,QmY6rY1ANS8LuGTC3srVQSkWbUM95nBzakr7oiCvnF4XyD,13701.4406028,1.0
125,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994676,QmSw2Kza7rHggtb2LY2Mk1fxHk89XjRRrCP9MGc7dnMQx5,13701.4406028,1.0
126,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994606,QmPoeYwU9WhSQQm1zJ4F7v4Nk1AoJpUQzdPoTJkKW1X1bv,13701.4406028,1.0
127,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994584,QmTqYS6tKc4tCp4P3hCozWkdSveqdv9cfiE24oesMPiXmF,13701.4406028,1.0
128,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994563,QmRaq5z9YZazgx7jpiwKFtX7MtyVoRF5YEMJcmL8UwwQ3U,13701.4406028,1.0
129,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994536,QmTR6oKnGsyFo6zrHnktdsEJ6StHeoGmhg4jbnVd9BFKnf,13701.4406028,1.0
130,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994514,Qmdk6byEePHTzNMyycB4cbLCcmd2BikCJ3RzWUNcri4tWY,13701.4406028,1.0
131,0x80083f2B6D9A748b44eD58D6374414934dcA600d,1633994494,QmbuErmRDa3SWS4YTqQxvFMgEYDi2pRa4pgg3brYKwUWvZ,13701.4406028,1.0
